run_id,trial_id,kp,time,x,y,z,error_x,error_y,error_z
20260827_112652,1,0.2,10.5,-12.320000000000004,13.180000000000021,1.081738771857907,-12.320000000000004,13.180000000000021,0.08173877185790701
20260827_112652,1,0.2,10.600000000000001,-12.060000000000004,12.920000000000021,1.0805817470645185,-12.060000000000004,12.920000000000021,0.08058174706451848
20260827_112652,1,0.2,10.700000000000001,-11.800000000000004,12.680000000000021,1.07942472227113,-11.800000000000004,12.680000000000021,0.07942472227112995
20260827_112652,1,0.2,10.8,-11.560000000000004,12.44000000000002,1.0782676974777414,-11.560000000000004,12.44000000000002,0.07826769747774143
20260827_112652,1,0.2,10.9,-11.320000000000004,12.20000000000002,1.077110672684353,-11.320000000000004,12.20000000000002,0.0771106726843529
20260827_112652,1,0.2,11.0,-11.080000000000004,11.96000000000002,1.0759536478909644,-11.080000000000004,11.96000000000002,0.07595364789096437
20260827_112652,1,0.2,11.100000000000001,-10.840000000000003,11.74000000000002,1.0747966230975758,-10.840000000000003,11.74000000000002,0.07479662309757584
20260827_112652,1,0.2,11.200000000000001,-10.620000000000003,11.52000000000002,1.0736395983041873,-10.620000000000003,11.52000000000002,0.07363959830418731
20260827_112652,1,0.2,11.3,-10.400000000000002,11.300000000000018,1.0724825735107988,-10.400000000000002,11.300000000000018,0.07248257351079879
20260827_112652,1,0.2,11.4,-10.180000000000001,11.080000000000018,1.0713255487174103,-10.180000000000001,11.080000000000018,0.07132554871741026
20260827_112652,1,0.2,11.5,-9.96,10.860000000000017,1.0701685239240217,-9.96,10.860000000000017,0.07016852392402173
20260827_112652,1,0.2,11.600000000000001,-9.760000000000002,10.660000000000018,1.0690114991306332,-9.760000000000002,10.660000000000018,0.0690114991306332
20260827_112652,1,0.2,11.700000000000001,-9.560000000000002,10.460000000000019,1.0678544743372447,-9.560000000000002,10.460000000000019,0.06785447433724467
20260827_112652,1,0.2,11.8,-9.360000000000003,10.26000000000002,1.0666974495438561,-9.360000000000003,10.26000000000002,0.06669744954385615
20260827_112652,1,0.2,11.9,-9.160000000000004,10.06000000000002,1.0655404247504676,-9.160000000000004,10.06000000000002,0.06554042475046762
20260827_112652,1,0.2,12.0,-8.960000000000004,9.86000000000002,1.0647274166203864,-8.960000000000004,9.86000000000002,0.06472741662038639
20260827_112652,1,0.2,12.100000000000001,-8.780000000000005,9.680000000000021,1.0639144084903052,-8.780000000000005,9.680000000000021,0.06391440849030516
20260827_112652,1,0.2,12.200000000000001,-8.600000000000005,9.500000000000021,1.063101400360224,-8.600000000000005,9.500000000000021,0.06310140036022394
20260827_112652,1,0.2,12.3,-8.420000000000005,9.320000000000022,1.0622883922301427,-8.420000000000005,9.320000000000022,0.06228839223014271
20260827_112652,1,0.2,12.4,-8.240000000000006,9.140000000000022,1.0614753841000615,-8.240000000000006,9.140000000000022,0.06147538410006148
20260827_112652,1,0.2,12.5,-8.060000000000006,8.960000000000022,1.0606623759699803,-8.060000000000006,8.960000000000022,0.06066237596998025
20260827_112652,1,0.2,12.600000000000001,-7.880000000000006,8.800000000000022,1.059849367839899,-7.880000000000006,8.800000000000022,0.059849367839899026
20260827_112652,1,0.2,12.700000000000001,-7.720000000000006,8.640000000000022,1.0590363597098178,-7.720000000000006,8.640000000000022,0.0590363597098178
20260827_112652,1,0.2,12.8,-7.560000000000006,8.480000000000022,1.0582233515797366,-7.560000000000006,8.480000000000022,0.05822335157973657
20260827_112652,1,0.2,12.9,-7.400000000000006,8.320000000000022,1.0574103434496553,-7.400000000000006,8.320000000000022,0.05741034344965534
20260827_112652,1,0.2,13.0,-7.2400000000000055,8.160000000000021,1.0565973353195741,-7.2400000000000055,8.160000000000021,0.056597335319574116
